"protein"	"m_diff"	"pval"	"adjpval"	"drug"
"EVL"	1.28819320925833	4.12348945041542e-07	0.00226441423169563	"A-1155463"
"PFKFB2"	1.39784297069064	1.03139696073404e-06	0.00371103277161604	"A-1155463"
"ADA"	1.16173061294419	1.66522009932053e-06	0.00371103277161604	"A-1155463"
"GUK1"	0.50385338607275	1.68944403697352e-06	0.00371103277161604	"A-1155463"
"MGAT4A"	1.1948863735046	3.62210097387171e-06	0.00568307642800471	"A-1155463"
"CD47"	0.63560792620828	6.00604610639747e-06	0.0063182352313256	"A-1155463"
"GRAP2"	1.25769247374317	7.38414281292024e-06	0.0063182352313256	"A-1155463"
"CD3E"	1.19765132026415	7.67754484437371e-06	0.0063182352313256	"A-1155463"
"MAPK7"	0.378824835896481	8.24215478789929e-06	0.0063182352313256	"A-1155463"
"SEMA4D"	0.852131505928366	8.29849536448751e-06	0.0063182352313256	"A-1155463"
"RHOG"	0.496386720515836	8.62911121459383e-06	0.0063182352313256	"A-1155463"
"FNBP1"	0.840613226810837	9.27816883092242e-06	0.00636888301687631	"A-1155463"
"UNC13D"	0.740488849473534	1.74159332872153e-05	0.00991301005386386	"A-1155463"
"RFX2"	0.811381693235846	1.82451691736967e-05	0.00991301005386386	"A-1155463"
"CHST11"	0.80763032640203	1.92488236913269e-05	0.00991301005386386	"A-1155463"
"HES1"	1.29419638520522	1.9856707746973e-05	0.00991301005386386	"A-1155463"
"GUK1"	0.565175795892143	7.42513180865605e-07	0.00224036343318886	"A-1331852"
"TESPA1"	1.29257897331346	1.2877631425042e-06	0.00224036343318886	"A-1331852"
"VPS26B"	0.89685870501187	1.32668445233656e-06	0.00224036343318886	"A-1331852"
"DENND1B"	0.823887234049126	1.47707543781846e-06	0.00224036343318886	"A-1331852"
"DGKA"	0.953140885846457	1.72196182094055e-06	0.00224036343318886	"A-1331852"
"HES1"	1.52786868746417	1.85650381715857e-06	0.00224036343318886	"A-1331852"
"EVL"	1.2481353523908	2.60771133974258e-06	0.00224036343318886	"A-1331852"
"LTF"	0.938485666017766	2.66581452331303e-06	0.00224036343318886	"A-1331852"
"MGAT4A"	1.1046564085523	2.99490782303525e-06	0.00224036343318886	"A-1331852"
"SEMA4D"	0.868117464052491	4.27233172440916e-06	0.0027988799067497	"A-1331852"
"DCTN5"	0.25470901054654	6.16936036713837e-06	0.00308418684188621	"A-1331852"
"CD3G"	1.38276799770276	6.73594358269375e-06	0.00312575848668585	"A-1331852"
"ARHGAP15"	0.657474182574648	8.93679636457077e-06	0.00381282878231307	"A-1331852"
"CD3E"	1.42796550848431	9.14781006897462e-06	0.00381282878231307	"A-1331852"
"BCL11B"	1.39683831851937	9.24363626851511e-06	0.00381282878231307	"A-1331852"
"MKRN3"	1.33045482625824	1.00979272864375e-05	0.00394254630744085	"A-1331852"
